,paper,title_for_check,authors,year,conference or journal,cited_num,other_cited_num,GB/T 7714,MLA,APA
0,Towards Reliable Learning for High Stakes Applications,Towards Reliable Learning for High Stakes Applications,"Jinyang Gao,Junjie Yao,Yingxia Shao",2019,"AAAI,3614-3621",0,0,"Gao J, Yao J, Shao Y. Towards Reliable Learning for High Stakes Applications[C]//Proceedings of the AAAI Conference on Artificial Intelligence. 2019, 33: 3614-3621.","Gao, Jinyang, Junjie Yao, and Yingxia Shao. ""Towards Reliable Learning for High Stakes Applications."" Proceedings of the AAAI Conference on Artificial Intelligence. Vol. 33. 2019.","Gao, J., Yao, J., & Shao, Y. (2019, July). Towards Reliable Learning for High Stakes Applications. In Proceedings of the AAAI Conference on Artificial Intelligence (Vol. 33, pp. 3614-3621)."
1,GALLOP: GlobAL Feature Fused LOcation Prediction for Different Check-in Scenarios,GALLOP: Global feature fused location prediction for different check-in scenarios,"Yuxing Han,Junjie Yao,Xuemin Lin,Liping Wang",2017,"IEEE Trans. Knowl. Data Eng.,1874-1887",2,2,"Han Y, Yao J, Lin X, et al. GALLOP: Global feature fused location prediction for different check-in scenarios[J]. IEEE Transactions on Knowledge and Data Engineering, 2017, 29(9): 1874-1887.","Han, Yuxing, et al. ""GALLOP: Global feature fused location prediction for different check-in scenarios."" IEEE Transactions on Knowledge and Data Engineering 29.9 (2017): 1874-1887.","Han, Y., Yao, J., Lin, X., & Wang, L. (2017). GALLOP: Global feature fused location prediction for different check-in scenarios. IEEE Transactions on Knowledge and Data Engineering, 29(9), 1874-1887."
